Question,Answer
¿PUEDO ESTUDIAR EN INGLÉS EN LA UNIVERSIDAD DE VALLADOLID?,"Hay determinados estudios con muchas asignaturas en inglés, como el Grado en Estudios Ingleses. Existen asignaturas impartidas en inglés. Puedes consultarlas <a href=""http://relint.uva.es/wp-content/uploads/2019/03/English18-19.pdf"" rel=""noopener"" target=""_blank"">aquí</a>.También puedes cursar los Semestres Internacionales: <a href=""https://campusvirtual.uva.es/course/index.php?categoryid=309"" rel=""noopener"" target=""_blank"">https://campusvirtual.uva.es/course/index.php?categoryid=309</a>, <a href=""http://www2.emp.uva.es/index.php/relaciones-internacionales-facultad-de-comercio-de-valladolid/"" rel=""noopener"" target=""_blank"">http://www2.emp.uva.es/index.php/relaciones-internacionales-facultad-de-comercio-de-valladolid/</a>, <a href=""https://campusvirtual.uva.es/course/index.php?categoryid=277"" rel=""noopener"" target=""_blank"">https://campusvirtual.uva.es/course/index.php?categoryid=277</a>, <a href=""http://www.feyts.uva.es/?q=node/2424"" rel=""noopener"" target=""_blank"">http://www.feyts.uva.es/?q=node/2424</a>,"
¿QUÉ NIVEL DE ESPAÑOL NECESITO PARA ESTUDIAR EN LA UNIVERSIDAD DE VALLADOLID?,Deberás tener un nivel B1 de español (Marco Común Europeo de Referencia para las Lenguas - MCERL) cuando llegues a la Universidad de Valladolid.
"TENGO BUEN NIVEL DE ESPAÑOL, PERO NO UN CERTIFICADO OFICIAL B1. ¿PUEDO PRESENTAR OTROS CERTIFICADOS DE ESPAÑOL?","Sí. Solo queremos estar seguros de que no tendrás problemas para comprender a tus profesores, así que aceptamos certificados no oficiales."
"HABLO ESPAÑOL, PERO NO TENGO CERTIFICADOS. ¿QUÉ PUEDO HACER?","Puedes enviarnos un informe de algún profesor de lengua española de tu Universidad, o de tu Oficina de Relaciones Internacionales, indicando que tienes suficiente conocimiento de español para poder llevar a cabo satisfactoriamente tu estancia en nuestra Universidad.Otra opción para obtener un nivel adecuado de español es hacer un curso intensivo en un centro o escuela de Idiomas en España antes de que comience el curso académico."
¿QUÉ DEBO HACER EL PRIMER DÍA QUE LLEGUE A LA UNIVERSIDAD DE VALLADOLID?," Si vas a estudiar en la ciudad de Valladolid, debes ir a la oficina de Relaciones Internacionales, donde registraremos tu llegada y te daremos información. Puedes ver nuestra dirección y horarios de apertura en este enlace., Si vas a estudiar en Palencia, Segovia y Soria deberás visitar a tu profesor responsable, que registrará tu llegada y te dará información académica. Debes avisar previamente a tu profesor de la fecha de tu llegada por correo electrónico. Puedes encontrar su datos de contacto en tu Área Personal.,Si tu profesor tarda en contestarte también puedes contactar con el becario de Relaciones Internacionales de tu Campus, a través del siguiente correo electrónico: Campus de Palencia: <span id=""cloak8ef6104af1e6cbf257b163b424441f8c""><a href=""mailto:internacional.palencia@uva.es"" title=""internacional.palencia@uva.es"">internacional.palencia@uva.es</a></span>, Campus de Segovia: <span id=""cloakcb47d8a6ae6b27561606dfd0542b8a57""><a href=""mailto:internacional.segovia@uva.es"" title=""internacional.segovia@uva.es"">internacional.segovia@uva.es</a></span>, Campus de Soria: <span id=""cloak48bc0a854810fec25167afd6b4b94371""></span><a href=""mailto:internacional.soria@uva.es"">internacional.soria@uva.es</a>,"
TODAVÍA NO TENGO LA TARJETA DE ESTUDIANTE Y LA NECESITO. ¿QUÉ PUEDO HACER?,"Mientras espera a que llegue tu tarjeta, puedes aceder a los servicios de la universidad de otras dos formas. Puedes utilizar la hoja de matrícula, o la aplicación para smartphones de la UVa, disponible para <a href=""https://play.google.com/store/apps/details?id=com.pocketuniversity.uva"" rel=""noopener"" target=""_blank"" title=""Android"">Android </a>e <a href=""https://itunes.apple.com/app/id1031505989"" rel=""noopener"" target=""_blank"" title=""iOS"">iOS</a>."
¿QUÉ NOTA OBTENDRÉ EN MI PAÍS CON LOS EXÁMENES DE LA UNIVERSIDAD DE VALLADOLID?,"Cada país tiene un sistema de calificación distinto. Los países europeos comparten un sistema de transferencia de calificaciones que puedes comprobar en Wikipedia: <a href=""https://es.wikipedia.org/wiki/European_Credit_Transfer_and_Accumulation_System"" rel=""noopener"" target=""_blank"" title=""ECTS"">ECTS</a>, <a href=""https://en.wikipedia.org/wiki/ECTS_grading_scale"" title=""Escala de calificaciones (solo en inglés)"">Escala de calificaciones (solo en inglés)</a>."
¿CUÁNDO SON LOS EXÁMENES EN LA UNIVERSIDAD DE VALLADOLID?,"Los exámenes del primer cuatrimestre son en el mes de enero, aunque algún profesor puede adelantar el de su asignatura a finales de diciembre. Los exámenes del segundo cuatrimestre son en el mes de junio."
NO ESTOY EN ESPAÑA EL DÍA DEL EXAMEN. ¿PUEDO HACERLO DESDE MI PAÍS?,Debes preguntar a tu profesor de esa asignatura. Él te dirá si hay otra forma de examinarte.
NO HE APROBADO UN EXAMEN. ¿QUÉ PUEDO HACER?,En Valladolid tienes la oportunidad de repetir un examen que has suspendido. Estos exámenes son conocidos como extraordinarios.
¿CUÁNDO SON LOS EXÁMENES EXTRAORDINARIOS?,Los exámenes extraordinarios del primer cuatrimestre son a finales de enero y principios de febrero. Los exámenes extraordinarios del segundo cuatrimestre son a finales de junio.
"HE APROBADO UN EXAMEN, PERO MI NOTA ES BAJA Y QUIERO MEJORARLA. ¿PUEDO HACERLO?","Debes preguntar a tu profesor de esa asignatura; algunos permiten hacer un trabajo para subir nota, otros permiten repetir el examen, otros no permiten mejorar la nota. Si te permite repetir el examen, tu profesor deberá decirte qué pasaría si suspendes el nuevo examen.Nunca debes ir al examen extraordinario sin antes hablar con tu profesor."
VOY A REPETIR ALGÚN EXAMEN. ¿QUÉ DEBO HACER?," Si son exámenes del primer cuatrimestre y te vas en el segundo cuatrimestre, nada., Si son exámenes del primer cuatrimestre y te vas en febrero, o si son exámenes del segundo cuatrimestre, debes hacer lo siguiente: En cuanto sepas que al menos debes hacer un examen extraordinario, envía un correo electrónico a <span id=""cloak66c600d3e680756788489433bdb29c3d""><a href=""mailto:incoming@uva.es"" rel=""noopener"" target=""_blank"" title=""incoming@uva.es"">incoming@uva.es</a></span> o <span id=""cloakd417e904187d77e4043912b6b34b8715""><a href=""mailto:raquel.chico@uva.es"" rel=""noopener"" target=""_blank"" title=""raquel.chico@uva.es"">raquel.chico@uva.es</a></span> para decir que vas a hacer exámenes extraordinarios., Durante tu último examen extraordinario debes pedir al profesor que está en la clase un justificante de asistencia., Tras tu último examen, debes llevar el justificante de asistencia a la oficina de Relaciones Internacionales, o a tu profesor responsable si estudias en Palencia, Segovia o Soria.,,"
"¿CÓMO VOY A RECIBIR MI CERTIFICADO DE NOTAS, TRANSCRIPT OF RECORDS O DOCUMENTO AFTER THE MOBILITY?",La oficina de Relaciones Internacionales te lo enviará por correo electrónico.
MI UNIVERSIDAD TIENE UN DOCUMENTO PARA ESTE CERTIFICADO DE NOTAS. ¿DEBO LLEVARLO A MI PROFESOR RESPONSABLE PARA QUE LO FIRME?,"No. Las normas de nuestra universidad nos obligan a utilizar nuestro propio certificado. Es generado siguiendo un protocolo estricto y seguro, y además debe ser firmado por dos autoridades de nuestra universidad, el Vicerrector de Relaciones Internacionales y la Secretaria General. Un Transcript firmado por tu profesor responsable en la Universidad de Valladolid carece de validez. Si esto es un problema para tu universidad, deben ponerse en contacto directamente con nosotros."
¿QUÉ DEBO HACER AL TERMINAR MIS ESTUDIOS EN LA UNIVERSIDAD DE VALLADOLID?,"Debes recoger tu certificado de estancia o Letter 2 en el mismo sitio donde recibiste tu certificado de llegada o Letter 1: Si has estudiado en la ciudad de Valladolid, debes ir a la oficina de Relaciones Internacionales. , Si has estudiado en Palencia, Segovia o Soria deberás visitar a tu profesor responsable.,La oficina de Relaciones Internacionales te enviará directamente tu certificado de notas o Transcript of Records. "
¿CÓMO PUEDO PROLONGAR MI ESTANCIA EN LA UNIVERSIDAD DE VALLADOLID?,"Debes cumplimentar el siguiente documento (<a href=""http://relint.uva.es/wp-content/uploads/2019/02/DOCUMENTO_AMPLIACION_MATRICULA.pdf"" rel=""noopener"" target=""_blank"">descargar aquí)</a> y enviarlo por correo electrónico a <a href=""mailto:incoming@uva.es"" rel=""noopener"" target=""_blank"">incoming@uva.es</a> o entregarlo en mano en la Oficina de Relaciones Internacionales. "
MI UNIVERSIDAD NO ME CONCEDE LA PROLONGACIÓN. ¿HAY OTRA FORMA PARA QUEDARME EN LA UVA?,Sí. A través del programa de Estudiantes Visitantes cualquier estudiante universitario puede permanecer en la Universidad de Valladolid durante uno o dos cuatrimestres. 
